bp,w/f,sm,a/w,d/w,ir,hits,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,age,height,weight,value,wage,attacking,crossing,finishing,heading accuracy,short passing,volleys,skill,dribbling,curve,fk accuracy,long passing,ball control,movement,acceleration,sprint speed,agility,reactions,balance,power,shot power,jumping,stamina,strength,long shots,mentality,aggression,interceptions,positioning,vision,penalties,composure,defending,marking,standing tackle,sliding tackle,goalkeeping,gk diving,gk handling,gk kicking,gk positioning,gk reflexes,total stats,base stats,pac,sho,pas,dri,def,phy,ova
CDM,2,2,1,2,1,6,50,50,50,51,51,51,51,51,52,52,52,53,52,52,52,53,54,53,53,53,54,54,54,54,54,54,16,22,5.11,159.0,100000,3000,245,51,39,57,63,35.0,256,58,47.0,43,57,51,300,63,60,57.0,53,67.0,252,60,64.0,45,51,32,240,58,45.0,36.0,48.0,53,42.0,170,54,51,65.0,58,14,11,12,6,15,1521,319,61,42,55,56,53,52,54
RWB,3,3,0,0,1,10,67,67,67,66,67,67,67,66,67,67,67,67,67,67,67,67,69,68,68,68,69,68,67,67,67,68,18,28,6.1,181.0,1000000,7000,314,61,58,60,68,67.0,308,66,55.0,55,68,64,375,77,81,78.0,70,69.0,390,80,80.0,84,79,67,308,65,64.0,61.0,65.0,53,65.0,198,66,66,66.0,54,10,14,9,8,13,1947,419,79,65,65,67,65,78,69
CAM,3,4,0,2,1,431,73,73,73,75,76,76,76,75,76,76,76,75,75,75,75,75,67,67,67,67,67,65,60,60,60,65,19,22,6.0,165.0,105000000,43000,332,65,69,58,77,63.0,346,81,61.0,53,72,79,372,77,75,78.0,76,66.0,360,79,73.0,75,68,65,327,56,64.0,75.0,77.0,55,78.0,151,41,61,49.0,60,10,15,11,16,8,1948,419,76,70,72,79,54,68,75
CDM,3,2,2,0,1,9,67,67,67,68,68,68,68,68,68,68,68,69,70,70,70,69,71,71,71,71,71,71,70,70,70,71,15,27,6.0,165.0,19000000,4000,334,71,66,65,74,58.0,357,64,74.0,79,69,71,318,65,65,62.0,69,57.0,360,70,67.0,80,74,69,329,59,69.0,64.0,68.0,69,72.0,213,68,75,70.0,43,13,10,8,7,5,1954,412,65,67,72,66,70,72,70
CDM,3,3,2,2,2,3,63,63,63,65,65,65,65,65,66,66,66,66,69,69,69,66,69,71,71,71,69,69,71,71,71,69,16,31,6.0,161.0,12000000,15000,318,71,52,66,71,58.0,328,69,61.0,55,72,71,314,62,55,64.0,66,67.0,332,69,63.0,61,68,71,315,71,77.0,59.0,66.0,42,76.0,219,73,72,74.0,47,9,10,8,13,7,1873,395,58,59,69,69,73,67,70
LM,3,2,2,2,1,6,52,52,52,58,56,56,56,58,58,58,58,59,58,58,58,59,54,54,54,54,54,52,48,48,48,52,14,19,5.7,141.0,275000,500,238,59,45,36,62,36.0,273,59,47.0,46,60,61,325,64,56,66.0,60,79.0,278,51,70.0,59,52,46,255,48,49.0,53.0,60.0,45,51.0,126,42,47,37.0,46,10,9,12,5,10,1541,324,60,46,59,61,44,54,58
CDM,3,3,2,2,2,8,64,64,64,68,67,67,67,68,68,68,68,69,70,70,70,69,73,72,72,72,73,73,72,72,72,73,17,32,6.1,183.0,26000000,20000,320,76,40,66,73,65.0,365,71,79.0,73,72,70,353,67,75,72.0,73,66.0,359,74,71.0,73,75,66,338,68,74.0,64.0,68.0,64,74.0,218,73,73,72.0,55,7,10,16,16,6,2008,416,71,56,73,71,72,73,73
CDM,3,2,2,2,1,5,46,46,46,48,48,48,48,48,50,50,50,50,52,52,52,50,53,56,56,56,53,53,56,56,56,53,17,24,5.1,161.0,130000,1000,204,36,30,40,64,34.0,226,49,33.0,35,57,52,294,58,63,55.0,52,66.0,273,48,76.0,55,64,30,243,66,54.0,39.0,46.0,38,43.0,164,57,54,53.0,59,15,15,7,12,10,1463,315,61,35,51,52,53,63,57
RM,3,3,0,1,1,4,63,63,63,68,67,67,67,68,68,68,68,69,64,64,64,69,53,51,51,51,53,49,41,41,41,49,14,24,5.9,163.0,12000000,12000,280,62,61,41,70,46.0,326,71,60.0,58,64,73,360,77,79,71.0,62,71.0,309,65,59.0,71,61,53,260,45,29.0,60.0,71.0,55,70.0,80,33,26,21.0,41,6,10,6,12,7,1656,365,78,59,67,71,30,60,68
CAM,2,3,2,1,1,3,63,63,63,71,69,69,69,71,70,70,70,71,65,65,65,71,55,51,51,51,55,50,40,40,40,50,18,28,5.9,139.0,24000000,500,271,70,63,26,72,40.0,347,70,77.0,64,65,71,408,86,82,87.0,65,88.0,335,56,77.0,71,62,69,281,53,33.0,69.0,67.0,59,59.0,70,23,26,21.0,63,6,14,13,16,14,1775,377,84,62,69,73,26,63,71
CB,3,3,2,2,2,7,64,64,64,65,65,65,65,65,66,66,66,65,68,68,68,65,67,69,69,69,67,67,71,71,71,67,17,36,5.1,181.0,160000,3000,312,74,56,71,68,43.0,325,68,62.0,57,67,71,292,51,47,68.0,71,55.0,326,66,75.0,53,73,59,334,68,72.0,65.0,70.0,59,73.0,215,69,74,72.0,49,13,16,8,6,6,1853,384,49,59,69,68,72,67,68
CAM,2,3,0,2,1,7,62,62,62,65,65,65,65,65,66,66,66,65,66,66,66,65,64,65,65,65,64,63,62,62,62,63,16,26,5.1,141.0,775000,3000,267,52,58,49,67,41.0,334,64,69.0,70,62,69,359,70,70,74.0,67,78.0,332,64,67.0,73,62,66,325,62,62.0,65.0,68.0,68,66.0,182,68,61,53.0,52,8,13,15,7,9,1851,388,70,61,64,67,61,65,66
CB,2,2,2,2,1,19,62,62,62,57,60,60,60,57,59,59,59,58,62,62,62,58,65,69,69,69,65,66,74,74,74,66,18,25,6.2,181.0,65000000,20000,261,47,53,74,67,20.0,317,56,71.0,64,63,63,275,58,58,51.0,65,43.0,365,81,72.0,63,82,67,292,84,70.0,52.0,51.0,35,69.0,223,75,75,73.0,57,12,11,10,11,13,1790,384,58,59,59,57,74,77,74
GK,2,1,2,2,1,5,22,22,22,18,20,20,20,18,20,20,20,19,21,21,21,19,19,23,23,23,19,19,23,23,23,19,67,23,6.4,198.0,900000,2000,62,10,8,14,24,6.0,66,6,10.0,10,22,18,155,22,27,24.0,59,23.0,169,50,30.0,19,63,7,82,28,10.0,4.0,27.0,13,30.0,40,14,14,12.0,340,69,68,66,68,69,914,365,69,68,66,69,25,68,68
GK,3,1,2,2,1,6,23,23,23,22,23,23,23,22,23,23,23,23,22,22,22,23,21,21,21,21,21,21,22,22,22,21,61,26,6.0,157.0,275000,500,64,12,9,10,24,9.0,66,8,11.0,13,18,16,227,44,45,36.0,55,47.0,198,46,70.0,22,53,7,97,24,14.0,10.0,35.0,14,40.0,32,9,10,13.0,306,62,58,61,60,65,990,351,62,58,61,65,45,60,62
LM,3,3,2,2,1,4,64,64,64,69,67,67,67,69,68,68,68,69,63,63,63,69,60,55,55,55,60,59,50,50,50,59,15,27,5.6,152.0,19000000,500,289,63,55,47,68,56.0,314,71,65.0,46,63,69,410,90,90,84.0,62,84.0,306,69,58.0,72,44,63,268,57,29.0,66.0,61.0,55,63.0,148,42,52,54.0,51,8,8,13,9,13,1786,384,90,60,64,72,44,54,70
CB,3,2,2,2,1,12,38,38,38,36,37,37,37,36,37,37,37,38,40,40,40,38,47,49,49,49,47,50,54,54,54,50,16,19,6.8,176.0,160000,1000,176,24,21,53,49,29.0,153,29,22.0,25,33,44,243,54,56,41.0,48,44.0,236,34,60.0,55,69,18,192,49,49.0,27.0,30.0,37,35.0,164,54,56,54.0,63,12,12,15,10,14,1227,266,55,25,35,36,54,61,55
ST,3,2,2,2,1,23,68,68,68,64,65,65,65,64,63,63,63,62,55,55,55,62,44,43,43,43,44,42,41,41,41,42,15,22,6.0,183.0,15000000,2000,321,51,72,75,64,59.0,242,63,38.0,25,48,68,317,70,69,63.0,56,59.0,316,67,70.0,51,69,59,265,50,21.0,70.0,52.0,72,54.0,56,30,15,11.0,52,7,12,11,9,13,1569,341,69,68,53,64,26,61,68
LB,3,3,0,2,1,9,61,61,61,64,63,63,63,64,64,64,64,66,66,66,66,66,68,67,67,67,68,68,66,66,66,68,15,25,5.8,161.0,2000000,5000,279,71,46,66,64,32.0,329,63,67.0,69,65,65,342,73,71,66.0,62,70.0,355,63,79.0,85,70,58,315,70,65.0,63.0,71.0,46,65.0,196,62,68,66.0,45,7,14,6,7,11,1861,394,72,52,67,64,65,74,70
LB,4,3,2,2,1,13,57,57,57,59,58,58,58,59,58,58,58,61,60,60,60,61,65,63,63,63,65,65,65,65,65,65,16,27,5.1,165.0,750000,5000,264,68,36,62,61,37.0,321,62,72.0,70,57,60,331,65,69,67.0,60,70.0,329,69,73.0,74,70,43,317,74,63.0,58.0,59.0,63,60.0,192,60,67,65.0,55,10,13,12,8,12,1809,373,67,47,62,62,63,72,67
RB,3,3,0,0,1,3,59,59,59,62,60,60,60,62,60,60,60,64,62,62,62,64,68,66,66,66,68,67,67,67,67,67,17,28,6.0,196.0,900000,4000,271,69,46,61,64,31.0,293,65,56.0,44,62,66,355,72,74,74.0,62,73.0,341,62,72.0,82,80,45,282,71,61.0,53.0,52.0,45,62.0,200,65,68,67.0,60,8,11,14,15,12,1802,392,73,49,61,66,65,78,69
CAM,3,3,2,2,1,12,58,58,58,67,65,65,65,67,68,68,68,67,66,66,66,67,61,60,60,60,61,58,52,52,52,58,15,24,5.9,139.0,900000,5000,264,62,49,33,73,47.0,332,72,69.0,53,66,72,382,76,67,89.0,65,85.0,291,59,71.0,64,38,59,272,55,47.0,59.0,67.0,44,58.0,158,65,49,44.0,43,9,12,7,7,8,1742,366,71,53,67,74,51,50,66
RB,3,3,0,2,1,14,58,58,58,64,62,62,62,64,62,62,62,67,63,63,63,67,71,68,68,68,71,71,69,69,69,71,17,26,5.1,157.0,43000000,8000,264,73,31,61,64,35.0,290,71,59.0,29,60,71,375,78,77,77.0,72,71.0,305,58,76.0,75,60,36,306,82,70.0,62.0,52.0,40,68.0,207,65,71,71.0,52,11,6,11,12,12,1799,387,77,40,61,72,68,69,73
CM,4,3,0,2,1,4,60,60,60,63,63,63,63,63,63,63,63,63,62,62,62,63,58,55,55,55,58,55,49,49,49,55,15,23,5.9,154.0,425000,500,283,58,59,40,64,62.0,275,63,49.0,41,57,65,354,68,73,73.0,61,79.0,313,66,66.0,74,47,60,247,37,48.0,58.0,64.0,40,61.0,136,51,52,33.0,46,10,6,11,8,11,1654,357,71,60,60,65,48,53,62
LWB,2,3,0,2,1,21,67,67,67,70,69,69,69,70,68,68,68,71,68,68,68,71,74,70,70,70,74,73,70,70,70,73,15,25,5.1,161.0,75000000,19000,317,71,53,55,68,70.0,316,73,64.0,48,60,71,387,82,87,74.0,71,73.0,378,73,85.0,84,70,66,326,71,74.0,67.0,62.0,52,70.0,214,72,72,70.0,45,8,7,15,7,8,1983,428,85,61,65,72,71,74,75
CF,3,3,2,0,2,22,74,74,74,76,76,76,76,76,76,76,76,75,71,71,71,75,62,60,60,60,62,58,54,54,54,58,21,29,6.0,172.0,75000000,45000,360,74,75,56,75,80.0,352,81,74.0,58,58,81,369,70,68,77.0,78,76.0,350,80,64.0,67,67,72,333,68,44.0,78.0,74.0,69,75.0,122,43,43,36.0,66,13,14,8,15,16,1952,407,69,76,71,80,44,67,76
RB,3,3,0,2,1,6,54,54,54,58,56,56,56,58,58,58,58,60,58,58,58,60,60,60,60,60,60,60,59,59,59,60,16,23,5.9,148.0,400000,5000,250,56,35,49,63,47.0,272,63,53.0,37,59,60,337,69,69,71.0,57,71.0,294,55,62.0,71,68,38,278,64,55.0,54.0,56.0,49,57.0,172,55,59,58.0,55,8,14,9,11,13,1658,356,69,42,58,63,56,68,62
RW,3,4,2,2,1,15,65,65,65,70,69,69,69,70,69,69,69,69,64,64,64,69,55,51,51,51,55,51,41,41,41,51,16,28,5.1,146.0,18000000,18000,291,67,65,40,67,52.0,350,71,75.0,73,59,72,386,78,77,82.0,68,81.0,291,70,32.0,70,52,67,273,38,34.0,68.0,65.0,68,67.0,90,33,36,21.0,52,9,12,15,8,8,1733,369,77,66,66,73,34,53,70
CAM,4,4,2,1,3,6,76,76,76,73,75,75,75,73,74,74,74,72,70,70,70,72,55,57,57,57,55,52,53,53,53,52,17,34,6.1,170.0,34000000,7000,366,59,75,81,76,75.0,372,78,72.0,75,69,78,331,61,62,67.0,77,64.0,365,81,75.0,62,73,74,316,68,29.0,77.0,71.0,71,77.0,95,29,40,26.0,46,12,7,5,10,12,1891,390,62,76,70,76,37,69,76
ST,3,2,2,0,1,6,66,66,66,60,63,63,63,60,61,61,61,59,58,58,58,59,46,50,50,50,46,44,48,48,48,44,18,36,6.3,194.0,275000,2000,328,60,70,73,59,66.0,294,59,63.0,53,55,64,243,46,34,47.0,66,50.0,340,74,65.0,52,85,64,323,78,43.0,72.0,58.0,72,71.0,70,24,24,22.0,54,8,15,6,14,11,1652,333,39,70,58,59,33,74,67
LM,3,3,0,1,1,9,67,67,67,71,69,69,69,71,70,70,70,71,65,65,65,71,57,54,54,54,57,54,47,47,47,54,18,30,5.8,154.0,29000000,13000,324,74,63,62,69,56.0,338,68,64.0,67,70,69,388,83,84,83.0,67,71.0,337,66,73.0,70,64,64,301,63,35.0,70.0,73.0,60,67.0,91,31,28,32.0,58,9,10,9,15,15,1837,389,84,64,71,70,34,66,72
CDM,3,3,2,0,1,8,57,57,57,61,61,61,61,61,62,62,62,63,65,65,65,63,68,69,69,69,68,69,67,67,67,69,15,21,5.7,143.0,23000000,6000,246,47,39,51,65,44.0,279,64,42.0,41,61,71,371,69,70,73.0,73,86.0,307,63,80.0,82,39,43,326,90,72.0,56.0,57.0,51,71.0,213,70,74,69.0,38,7,5,6,15,5,1780,374,70,46,57,69,70,62,70
CAM,5,4,0,1,2,29,72,72,72,79,77,77,77,79,79,79,79,78,74,74,74,78,66,62,62,62,66,63,52,52,52,63,18,27,5.9,143.0,95000000,46000,340,78,68,42,78,74.0,408,81,84.0,84,76,83,418,84,80,89.0,75,90.0,314,80,50.0,66,43,75,315,48,36.0,77.0,78.0,76,78.0,157,55,48,54.0,53,12,10,7,15,9,2005,414,82,73,78,83,48,50,77
CB,3,2,2,0,1,7,54,54,54,58,56,56,56,58,57,57,57,60,58,58,58,60,66,63,63,63,66,66,67,67,67,66,17,22,6.4,181.0,11000000,6000,256,62,30,66,64,34.0,243,61,45.0,22,51,64,323,66,84,54.0,63,56.0,273,36,55.0,65,76,41,269,63,61.0,55.0,47.0,43,52.0,204,65,70,69.0,55,14,12,12,10,7,1623,364,76,36,55,61,66,70,68
ST,5,2,0,0,1,7,66,66,66,65,65,65,65,65,64,64,64,65,62,62,62,65,63,61,61,61,63,62,62,62,62,62,17,34,6.2,181.0,350000,5000,309,64,63,66,61,55.0,284,62,49.0,55,55,63,349,68,75,73.0,67,66.0,376,77,76.0,83,79,61,331,78,57.0,64.0,65.0,67,77.0,160,55,50,55.0,55,10,12,10,8,15,1864,397,72,65,61,64,55,80,66
RW,3,3,0,2,1,7,66,66,66,67,66,66,66,67,64,64,64,66,57,57,57,66,52,47,47,47,52,49,44,44,44,49,18,26,5.6,141.0,825000,500,291,62,55,51,57,66.0,297,71,52.0,53,54,67,421,89,90,89.0,62,91.0,358,75,87.0,61,77,58,245,43,23.0,67.0,52.0,60,55.0,89,29,33,27.0,58,12,14,7,16,9,1759,377,90,61,56,72,31,67,67
CDM,2,3,2,0,1,10,60,60,60,62,62,62,62,62,64,64,64,63,65,65,65,63,65,66,66,66,65,64,62,62,62,64,17,28,5.1,157.0,0,0,277,55,57,42,65,58.0,309,63,59.0,56,66,65,337,68,70,72.0,54,73.0,311,68,37.0,80,62,64,327,80,67.0,59.0,67.0,54,59.0,194,68,64,62.0,60,8,13,11,13,15,1815,390,69,61,63,65,63,69,67
ST,4,2,2,2,1,3,67,67,67,63,64,64,64,63,61,61,61,62,57,57,57,62,51,49,49,49,51,49,48,48,48,49,16,28,6.3,201.0,925000,5000,301,54,61,66,58,62.0,275,62,55.0,49,43,66,325,74,75,60.0,66,50.0,372,80,64.0,76,90,62,282,69,32.0,65.0,50.0,66,69.0,79,15,41,23.0,50,7,8,9,15,11,1684,370,75,66,53,63,32,81,68
CM,3,3,2,2,4,297,77,77,77,75,77,77,77,75,77,77,77,75,77,77,77,75,64,69,69,69,64,62,64,64,64,62,17,34,5.9,183.0,43000000,31000,391,73,80,75,80,83.0,402,74,82.0,81,83,82,327,54,53,61.0,82,77.0,376,84,71.0,63,78,80,378,81,56.0,78.0,82.0,81,88.0,152,57,55,40.0,49,10,11,13,8,7,2075,421,53,81,80,76,56,75,77
GK,3,1,2,2,2,5,28,28,28,27,29,29,29,27,31,31,31,28,31,31,31,28,26,31,31,31,26,26,30,30,30,26,70,36,6.4,183.0,400000,15000,91,13,14,15,34,15.0,94,11,15.0,13,27,28,246,35,35,57.0,68,51.0,215,42,66.0,25,68,14,143,33,26.0,16.0,46.0,22,48.0,51,23,15,13.0,342,72,70,56,70,74,1182,377,72,70,56,74,35,70,71
CAM,2,3,2,2,1,116,70,70,70,73,73,73,73,73,74,74,74,73,74,74,74,73,70,70,70,70,70,68,64,64,64,68,16,22,5.9,159.0,8000000,34000,321,68,68,50,74,61.0,358,73,75.0,62,70,78,366,74,61,79.0,77,75.0,368,75,76.0,79,64,74,345,66,71.0,72.0,74.0,62,71.0,183,60,62,61.0,43,7,11,8,7,10,1984,415,67,70,72,75,62,69,74
CAM,3,2,2,2,1,14,62,62,62,63,63,63,63,63,64,64,64,64,61,61,61,64,54,54,54,54,54,52,51,51,51,52,16,19,6.3,185.0,850000,6000,282,56,52,58,66,50.0,302,72,51.0,51,61,67,303,62,66,59.0,60,56.0,311,66,57.0,66,73,49,283,61,37.0,63.0,64.0,58,58.0,121,40,40,41.0,51,12,8,11,10,10,1653,357,64,55,61,68,41,68,64
CB,3,2,2,0,2,52,69,69,69,67,68,68,68,67,69,69,69,67,72,72,72,67,71,76,76,76,71,72,79,79,79,72,17,31,6.2,183.0,65000000,13000,326,63,59,74,75,55.0,358,71,66.0,75,72,74,296,55,55,55.0,73,58.0,375,78,73.0,65,87,72,367,91,79.0,65.0,66.0,66,76.0,234,78,81,75.0,49,11,11,8,7,12,2005,421,55,66,70,70,78,82,77
RM,3,4,2,0,1,5,67,67,67,71,70,70,70,71,72,72,72,73,73,73,73,73,71,69,69,69,71,70,65,65,65,70,20,31,5.9,161.0,49000000,8000,323,74,59,64,75,51.0,348,72,68.0,63,71,74,370,70,72,75.0,73,80.0,339,61,54.0,87,66,71,336,69,64.0,70.0,75.0,58,70.0,187,51,67,69.0,64,8,15,11,16,14,1967,412,71,62,73,73,62,71,74
ST,3,3,0,2,1,7,66,66,66,68,67,67,67,68,66,66,66,66,60,60,60,66,52,50,50,50,52,49,46,46,46,49,14,24,5.1,161.0,900000,4000,310,67,65,51,68,59.0,307,70,57.0,48,63,69,348,79,69,66.0,64,70.0,299,72,65.0,38,62,62,285,66,27.0,67.0,58.0,67,70.0,103,36,31,36.0,45,9,6,14,5,11,1697,364,74,66,64,69,34,57,66
LB,2,3,2,2,1,6,61,61,61,64,63,63,63,64,64,64,64,65,64,64,64,65,65,64,64,64,65,65,62,62,62,65,16,29,5.9,152.0,625000,4000,293,68,48,55,64,58.0,333,65,66.0,68,68,66,370,75,69,80.0,65,81.0,344,72,83.0,69,58,62,306,62,66.0,57.0,66.0,55,62.0,182,62,58,62.0,53,11,8,12,7,15,1881,387,72,57,66,68,61,63,67
RM,3,3,0,0,1,3,57,57,57,64,62,62,62,64,64,64,64,65,64,64,64,65,65,63,63,63,65,63,58,58,58,63,18,24,5.9,152.0,825000,3000,257,64,48,31,66,48.0,305,66,57.0,56,62,64,363,71,75,75.0,63,79.0,325,61,72.0,84,55,53,287,68,58.0,58.0,68.0,35,61.0,178,56,63,59.0,59,12,10,11,12,14,1774,377,73,51,64,67,56,66,66
CAM,3,3,0,2,1,3,63,63,63,68,66,66,66,68,68,68,68,67,63,63,63,67,58,57,57,57,58,56,53,53,53,56,17,25,6.0,161.0,11000000,5000,299,69,64,46,67,53.0,326,70,62.0,61,66,67,361,73,71,83.0,62,72.0,309,63,72.0,49,57,68,292,58,43.0,62.0,69.0,60,66.0,145,54,49,42.0,61,12,6,14,14,15,1793,377,72,64,67,70,48,56,68
LM,3,3,0,0,1,89,65,65,65,68,67,67,67,68,67,67,67,68,63,63,63,68,58,54,54,54,58,55,48,48,48,55,16,19,5.9,139.0,2000000,12000,301,69,68,50,67,47.0,311,67,66.0,46,63,69,364,77,72,72.0,65,78.0,327,62,68.0,75,61,61,277,60,35.0,69.0,60.0,53,61.0,115,24,44,47.0,51,14,12,10,6,9,1746,373,74,64,64,69,37,65,69
LWB,2,3,0,2,3,655,73,73,73,78,77,77,77,78,78,78,78,80,79,79,79,80,82,79,79,79,82,81,75,75,75,81,18,24,5.7,152.0,355000000,20000,344,84,52,66,81,61.0,412,84,85.0,81,79,83,423,86,84,84.0,83,86.0,375,79,64.0,90,63,79,347,69,81.0,75.0,68.0,54,83.0,232,75,78,79.0,50,7,13,10,7,13,2183,461,85,65,79,84,77,71,84
RM,3,4,2,2,1,3,65,65,65,71,69,69,69,71,69,69,69,70,64,64,64,70,58,55,55,55,58,55,49,49,49,55,20,28,5.11,159.0,24000000,20000,279,64,58,38,68,51.0,341,82,67.0,57,57,78,378,79,84,75.0,65,75.0,301,67,55.0,59,66,54,283,58,34.0,66.0,62.0,63,66.0,120,36,48,36.0,69,16,14,11,16,12,1771,385,82,59,64,79,39,62,71
CB,3,2,1,0,1,15,40,40,40,34,35,35,35,34,37,37,37,38,46,46,46,38,55,61,61,61,55,59,69,69,69,59,17,26,6.1,170.0,12000000,6000,198,29,16,73,50,30.0,165,24,23.0,27,51,40,241,28,46,58.0,63,46.0,292,36,80.0,70,87,19,232,67,70.0,29.0,32.0,34,59.0,211,71,72,68.0,57,16,10,13,11,7,1396,285,38,23,40,35,71,78,69
CAM,2,3,0,2,1,6,58,58,58,63,61,61,61,63,63,63,63,63,61,61,61,63,59,57,57,57,59,58,53,53,53,58,16,22,5.8,141.0,375000,2000,257,54,56,45,62,40.0,278,64,52.0,41,59,62,383,74,76,87.0,57,89.0,319,58,77.0,72,53,59,262,42,51.0,58.0,62.0,49,59.0,158,52,55,51.0,55,9,16,10,8,12,1712,365,75,56,58,67,52,57,61
CB,2,2,2,2,1,3,46,46,46,44,45,45,45,44,46,46,46,47,52,52,52,47,57,61,61,61,57,58,64,64,64,58,15,31,6.3,190.0,325000,3000,213,39,17,71,58,28.0,200,42,25.0,23,54,56,259,51,45,49.0,65,49.0,249,39,28.0,64,91,27,235,58,63.0,40.0,36.0,38,65.0,186,63,66,57.0,46,12,8,11,8,7,1388,307,48,26,46,48,64,75,64
RB,3,3,0,2,1,7,66,66,66,69,68,68,68,69,68,68,68,70,68,68,68,70,71,69,69,69,71,70,66,66,66,70,20,29,5.1,165.0,26000000,15000,311,69,57,54,68,63.0,331,69,66.0,61,64,71,374,79,80,75.0,66,74.0,358,71,68.0,90,63,66,308,67,68.0,67.0,66.0,40,60.0,202,68,67,67.0,64,13,16,7,15,13,1948,416,80,62,67,70,66,71,72
RM,2,3,0,2,1,20,73,73,73,72,72,72,72,72,72,72,72,72,68,68,68,72,60,59,59,59,60,57,55,55,55,57,18,30,6.2,172.0,38000000,19000,356,73,70,69,73,71.0,328,72,72.0,43,68,73,335,78,74,65.0,64,54.0,365,75,70.0,73,81,66,332,74,42.0,78.0,70.0,68,68.0,114,35,45,34.0,60,13,16,11,6,14,1890,407,76,71,70,70,43,77,73
CAM,3,2,0,2,1,36,54,54,54,57,55,55,55,57,56,56,56,56,53,53,53,56,52,50,50,50,52,51,48,48,48,51,15,18,5.9,154.0,200000,5000,256,55,52,41,57,51.0,285,57,57.0,55,56,60,335,69,68,73.0,50,75.0,263,62,56.0,49,47,49,241,51,40.0,47.0,53.0,50,53.0,141,48,47,46.0,51,7,6,10,14,14,1572,331,68,53,56,60,45,49,56
CAM,4,3,2,2,1,9,59,59,59,64,63,63,63,64,65,65,65,65,64,64,64,65,60,58,58,58,60,58,52,52,52,58,17,23,5.1,150.0,950000,5000,274,56,52,50,68,48.0,306,66,56.0,49,68,67,365,75,71,78.0,64,77.0,298,60,65.0,75,48,50,280,53,42.0,60.0,67.0,58,67.0,149,42,54,53.0,56,13,14,10,7,12,1728,364,73,54,64,68,48,57,66
CAM,3,4,2,2,1,94,72,72,72,75,75,75,75,75,75,75,75,74,72,72,72,74,64,63,63,63,64,61,56,56,56,61,16,23,6.2,168.0,105000000,19000,341,74,76,52,74,65.0,373,75,74.0,75,73,76,333,71,72,69.0,74,47.0,349,73,64.0,66,69,77,316,45,55.0,77.0,77.0,62,78.0,142,49,49,44.0,45,10,5,10,12,8,1899,407,72,74,75,73,50,63,75
ST,3,3,2,1,1,13,68,68,68,64,66,66,66,64,65,65,65,64,62,62,62,64,52,53,53,53,52,50,51,51,51,50,16,26,6.3,176.0,11000000,10000,327,59,69,69,64,66.0,278,67,42.0,40,56,73,281,51,60,50.0,65,55.0,337,72,69.0,63,74,59,285,63,30.0,69.0,63.0,60,64.0,112,38,39,35.0,54,7,14,15,6,12,1674,357,56,67,59,66,40,69,68
CB,3,3,0,2,2,4,60,60,60,62,61,61,61,62,61,61,61,64,64,64,64,64,68,69,69,69,68,68,70,70,70,68,17,33,6.1,161.0,400000,9000,274,67,41,62,61,43.0,319,66,64.0,53,68,68,322,65,65,62.0,68,62.0,330,59,73.0,74,77,47,320,84,67.0,63.0,57.0,49,61.0,213,71,69,73.0,59,12,9,15,15,8,1837,386,65,47,62,66,69,77,69
CDM,3,2,0,0,1,7,62,62,62,65,66,66,66,65,67,67,67,66,68,68,68,66,66,68,68,68,66,66,66,66,66,66,17,24,5.11,154.0,13000000,15000,281,51,48,56,71,55.0,326,67,40.0,73,72,74,354,67,78,72.0,58,79.0,335,72,66.0,74,57,66,336,90,59.0,63.0,67.0,57,69.0,201,67,66,68.0,59,8,16,13,7,15,1892,398,73,58,65,70,64,68,69
CAM,3,3,2,1,1,5,60,60,60,65,63,63,63,65,63,63,63,62,54,54,54,62,43,38,38,38,43,39,29,29,29,39,16,21,5.8,143.0,575000,1000,286,58,64,48,60,56.0,319,76,63.0,55,50,75,359,66,65,92.0,49,87.0,226,54,38.0,46,33,55,197,22,12.0,60.0,46.0,57,60.0,53,28,13,12.0,61,12,9,14,15,11,1501,311,65,59,55,77,21,34,63
CB,2,2,2,2,1,17,48,48,48,49,49,49,49,49,50,50,50,51,53,53,53,51,57,60,60,60,57,58,63,63,63,58,13,21,5.11,172.0,600000,2000,214,35,30,58,60,31.0,244,55,37.0,37,53,62,298,65,55,63.0,55,60.0,277,46,74.0,59,74,24,244,66,56.0,36.0,41.0,45,58.0,190,62,65,63.0,40,8,9,11,6,6,1507,329,60,33,48,58,61,69,63
LB,3,2,0,2,1,6,54,54,54,57,56,56,56,57,56,56,56,57,54,54,54,57,59,56,56,56,59,59,56,56,56,59,16,25,5.9,159.0,275000,850,243,49,49,39,58,48.0,233,56,44.0,36,48,49,369,80,79,81.0,56,73.0,300,56,65.0,70,60,49,255,54,55.0,56.0,51.0,39,45.0,175,54,61,60.0,56,16,7,13,13,7,1631,355,79,50,52,57,55,62,61
ST,3,3,0,2,1,4,65,65,65,62,63,63,63,62,60,60,60,61,54,54,54,61,49,46,46,46,49,46,42,42,42,46,17,31,5.11,163.0,475000,2000,299,52,66,59,56,66.0,270,64,52.0,55,35,64,353,62,65,78.0,69,79.0,339,65,75.0,78,62,59,273,48,42.0,70.0,43.0,70,68.0,63,29,21,13.0,52,12,6,11,10,13,1649,339,64,65,49,66,31,64,65
